,NPI2 Threshold,NPI2 Flow Threshold,NPI Threshold,NPI Flow Threshold,Brisbane to Nth Pine Threshold,Brisbane to Nth Pine Flow Threshold,Maroochy to Baroon Threshold,Ewen Maddock to Baroon Threshold,EPI Threshold,EPI Flow Threshold,SPI Threshold,SPI Flow Threshold,PRW Threshold,Desalination 1/3 Production Threshold,Desalination 2/3 Production Threshold,Desalination Full Production Threshold,Total Spill Volume (GL),Minimum System Storage (GL),Total Cost ($ million),Switching Cost ($ million),Pumping Cost ($ million),Desalination Cost ($ million),Treatment Cost ($ million),PRW Cost ($ million),Desalination Total Production Volume (GL),PRW Inflow (GL),Two Way Pipeline Flow (GL)
Lowest Total Cost,0.8532930651,0.7014142755,0.9019725913,0.0032529534999999996,0.4827358119,0.0023226814,0.0569127096,0.4502246864,0.0747541779,0.0025209612,0.8183029525,8.896056477178571e-05,0.0170039931,0.0454543161,0.0993458042,0.011127004099999999,376.48055937543296,325.848758565297,5169.59609965709,0.16,18.239574860729697,1.21147284720004,4497.947622829191,652.0374291199699,14.5714799999993,0.0,0.120171
Highest Total Cost,0.9426540661,0.991347567,0.9083390365,0.9640059576000001,0.8295358193000001,0.050417519,0.8603998690000001,0.7679995115,0.7103115275,0.9300141944,0.709281576,0.1948569766,0.8799743227,0.1123989861,0.7199635553,0.7361971723,369.751177569034,417.81216577332395,5545.1103308758,0.2,44.8517929971091,338.18947932001095,4509.8316294387105,652.0374291199699,485.716,0.232,0.349897
Lowest Total Spill,0.8823918212,0.8735255381,0.7955018934,0.9846045440000001,0.0043380874,0.42583758549999995,0.8547149395999999,0.9780642848000001,0.0053364395,0.6599116703,0.3294107545,0.8349249423,0.3742164415,0.0815100462,0.3708019078,0.2049586715,302.226159891913,253.26324025966198,5459.28528891288,1.08,52.2168369019063,242.589815873992,4511.361207017009,652.0374291199699,348.16739999999896,0.232,0.349897
Highest Total Spill,0.8690217522,0.9992335589,0.9944906957999999,0.9974648631,0.0084355944,0.0259073529,0.8892012541,0.7430960119,0.398553679,0.9391165576,0.2632115289,0.0209088065,0.8304129651000001,0.7139122856,0.34665248369999996,0.6921425281999999,535.047574442377,438.850716416737,5517.72281256577,0.2,25.1640074195496,338.18947932001095,4502.13189670624,652.0374291199699,485.716,0.232,0.189897
"Lowest Minimum
System Storage",0.7372263176,0.8930912617,0.7483658854999999,0.6231059353,0.7687845925,0.35415566299999995,0.9922908385,0.8557281055,0.3960830697,0.4554637861,0.7532032509000001,0.4850769505,0.9096606643999999,0.0001384861,0.015781647700000002,0.0350754368,308.050344796588,128.45661325570902,5231.558698766929,0.28,50.902537033078,1.21147284720004,4527.127259766679,652.0374291199699,14.5714799999993,0.232,0.349897
"Highest Minimum
System Storage",0.8640643719,0.9479300059,0.9484389269,0.9998642869,0.34799599229999995,0.0062841649,0.9775556875,0.9387242183,0.7551569831,0.8664982526999999,0.6098134096,0.0509999945,0.8506195595,0.3298820434,0.0332896326,0.7264613518999999,483.44547641721704,440.182432649032,5530.026922879079,0.12,32.9780690382485,338.18947932001095,4506.7019454008505,652.0374291199699,485.716,0.232,0.189897
"Moderate Balanced
Option",0.9685111129999999,0.4551835775,0.8501029240000001,0.36536916,0.13757911550000002,0.0042437302,0.9875359147,0.8187479851999999,0.36435775020000005,0.5371485229999999,0.6403952672,0.0013367597,0.0199057624,0.0443671417,0.0302696413,0.0160203391,327.680564523353,330.01213194513895,5181.14133643003,0.2,23.0865040451502,1.21147284720004,4504.605930417711,652.0374291199699,14.5714799999993,0.0,0.135172
Base Case,0.5,0.6,0.5,0.6,0.5,0.6,0.5,0.5,0.6,0.6,0.5,0.6,0.4,0.6,0.5,0.4,318.206605307853,275.47212129313,5518.91475036482,0.12,50.898161366476096,312.601764451203,4503.257395427171,652.0374291199699,447.5982,0.0,0.349897
10th Percentile 5 year/Lowest Total Cost,0.8532930651,0.7014142755,0.9019725913,0.0032529534999999996,0.4827358119,0.0023226814,0.0569127096,0.4502246864,0.0747541779,0.0025209612,0.8183029525,8.896059999999999e-05,0.0170039931,0.0454543161,0.0993458042,0.011127004099999999,615.7663695748879,415.197569169291,5194.53025571372,0.16,18.5413008426901,1.21147284720004,4522.58005290386,652.0374291199699,14.5714799999993,0.0,0.09099600000000001
10th Percentile 5 year/Highest Total Cost,0.9426540661,0.991347567,0.9083390365,0.9640059576000001,0.8295358193000001,0.050417519,0.8603998690000001,0.7679995115,0.7103115275,0.9300141944,0.709281576,0.1948569766,0.8799743227,0.1123989861,0.7199635553,0.7361971723,732.616147615205,504.12871601655604,5541.08022590547,0.28,37.1598866176844,338.18947932001095,4513.41343084781,652.0374291199699,485.716,0.232,0.189897
10th Percentile 5 year/Lowest Total Spill,0.8823918212,0.8735255381,0.7955018934,0.9846045440000001,0.0043380874,0.42583758549999995,0.8547149395999999,0.9780642848000001,0.0053364395,0.6599116703,0.3294107545,0.8349249423,0.3742164415,0.0815100462,0.3708019078,0.2049586715,373.80690738707,461.27365550681895,5369.04214806056,0.2,53.3387546480497,146.336595535201,4517.12936875734,652.0374291199699,210.64008000000396,0.232,0.349897
10th Percentile 5 year/Highest Total Spill,0.8690217522,0.9992335589,0.9944906957999999,0.9974648631,0.0084355944,0.0259073529,0.8892012541,0.7430960119,0.398553679,0.9391165576,0.2632115289,0.0209088065,0.8304129651000001,0.7139122856,0.34665248369999996,0.6921425281999999,828.9335101965129,506.56387939879204,5529.68688986174,0.2,25.7069209916876,338.18947932001095,4513.55306043007,652.0374291199699,485.716,0.232,0.189897
10th Percentile 5 year/Lowest Minimum System Storage,0.7372263176,0.8930912617,0.7483658854999999,0.6231059353,0.7687845925,0.35415566299999995,0.9922908385,0.8557281055,0.3960830697,0.4554637861,0.7532032509000001,0.4850769505,0.9096606643999999,0.0001384861,0.015781647700000002,0.0350754368,283.96551669591,441.23141895599,5233.296023183791,0.2,52.5085813629495,1.21147284720004,4527.33853985367,652.0374291199699,14.5714799999993,0.232,0.349897
10th Percentile 5 year/Highest Minimum System Storage,0.8640643719,0.9479300059,0.9484389269,0.9998642869,0.34799599229999995,0.0062841649,0.9775556875,0.9387242183,0.7551569831,0.8664982526999999,0.6098134096,0.0509999945,0.8506195595,0.3298820434,0.0332896326,0.7264613518999999,828.122403550315,506.56387939879204,5530.0198432812,0.2,25.8061684741018,338.18947932001095,4513.78676636712,652.0374291199699,485.716,0.232,0.189897
10th Percentile 5 year/Moderate Balanced Option,0.9685111129999999,0.4551835775,0.8501029240000001,0.36536916,0.13757911550000002,0.0042437302,0.9875359147,0.8187479851999999,0.36435775020000005,0.5371485229999999,0.6403952672,0.0013367597,0.0199057624,0.0443671417,0.0302696413,0.0160203391,559.335794423963,423.03706426126297,5204.126312586571,0.36,23.1554684925699,1.21147284720004,4527.36194212683,652.0374291199699,14.5714799999993,0.0,0.09999700000000002
10th Percentile 5 year/Base Case,0.5,0.6,0.5,0.6,0.5,0.6,0.5,0.5,0.6,0.6,0.5,0.6,0.4,0.6,0.5,0.4,490.644056527489,477.62402318744097,5507.264017943129,0.36,53.078174284514894,297.351865389598,4504.43654914905,652.0374291199699,424.80200000001,0.232,0.349897
90th Percentile 5 year/Lowest Total Cost,0.8532930651,0.7014142755,0.9019725913,0.0032529534999999996,0.4827358119,0.0023226814,0.0569127096,0.4502246864,0.0747541779,0.0025209612,0.8183029525,8.896059999999999e-05,0.0170039931,0.0454543161,0.0993458042,0.011127004099999999,4750.63690441319,526.424870304429,5212.52400700855,0.52,18.5010959423007,1.21147284720004,4540.25400909908,652.0374291199699,14.5714799999993,0.0,0.1254
90th Percentile 5 year/Highest Total Cost,0.9426540661,0.991347567,0.9083390365,0.9640059576000001,0.8295358193000001,0.050417519,0.8603998690000001,0.7679995115,0.7103115275,0.9300141944,0.709281576,0.1948569766,0.8799743227,0.1123989861,0.7199635553,0.7361971723,5035.452415377729,679.790613648878,5451.12863438617,1.08,26.6693703921471,245.73275355718798,4525.60908131686,652.0374291199699,356.447979999993,0.232,0.1484
90th Percentile 5 year/Lowest Total Spill,0.8823918212,0.8735255381,0.7955018934,0.9846045440000001,0.0043380874,0.42583758549999995,0.8547149395999999,0.9780642848000001,0.0053364395,0.6599116703,0.3294107545,0.8349249423,0.3742164415,0.0815100462,0.3708019078,0.2049586715,4556.80534520299,576.79091965772,5269.18797813272,1.28,45.7588449808311,34.329770076005,4535.78193395592,652.0374291199699,59.315339999995594,0.0,0.1295
